"covariate","mean","95% CI","species"
"Lakes",15341,"50-50000","Bewick's Wren"
"Rivers",27573,"50-50000","Bewick's Wren"
"Elevation",31651,"7186-50000","Bewick's Wren"
"Aspect",23496,"7186-47961","Bewick's Wren"
"Slope",11263,"50-41845","Bewick's Wren"
"Precipitation",20000,"1000-50000","Bewick's Wren"
"Developed high intensity",7186,"50-50000","Bewick's Wren"
"Max temperature",6000,"2000-16000","Bewick's Wren"
"Barren land",27573,"50-50000","Bewick's Wren"
"Deciduous forest",33690,"4128-50000","Bewick's Wren"
"Evergreen forest",33690,"7186-50000","Bewick's Wren"
"Mixed forest",31651,"2089-50000","Bewick's Wren"
"Shrub scrub",19418,"50-50000","Bewick's Wren"
"Grassland herbaceous",23496,"50-50000","Bewick's Wren"
"Pasture hay",33690,"3108-50000","Bewick's Wren"
"Developed low intensity",3108,"1069-5147","Black-and-white Warbler"
"Cultivated crop",39806,"13302-50000","Black-and-white Warbler"
"Woody wetland",4128,"1069-11263","Black-and-white Warbler"
"Emergent wetland",29612,"50-50000","Black-and-white Warbler"
"Ocean",21457,"50-50000","Black-and-white Warbler"
"Lakes",15341,"50-47961","Black-and-white Warbler"
"Rivers",19418,"50-50000","Black-and-white Warbler"
"Elevation",21457,"1069-50000","Black-and-white Warbler"
"Aspect",25535,"1069-50000","Black-and-white Warbler"
"Slope",33690,"10244-50000","Black-and-white Warbler"
"Precipitation",20000,"1000-50000","Black-and-white Warbler"
"Developed high intensity",37767,"19418-50000","Black-and-white Warbler"
"Max temperature",8000,"1000-46000","Black-and-white Warbler"
"Barren land",15341,"50-47961","Black-and-white Warbler"
"Deciduous forest",1069,"1069-2089","Black-and-white Warbler"
"Evergreen forest",19418,"1069-47961","Black-and-white Warbler"
"Mixed forest",1069,"1069-1069","Black-and-white Warbler"
"Shrub scrub",15341,"50-50000","Black-and-white Warbler"
"Grassland herbaceous",19418,"50-50000","Black-and-white Warbler"
"Pasture hay",6166,"2089-23496","Black-and-white Warbler"
"Developed low intensity",23496,"2089-50000","Black-bellied Whistling-Duck"
"Cultivated crop",17380,"2089-50000","Black-bellied Whistling-Duck"
"Woody wetland",25535,"5147-47961","Black-bellied Whistling-Duck"
"Emergent wetland",11263,"5147-41845","Black-bellied Whistling-Duck"
"Ocean",25535,"50-50000","Black-bellied Whistling-Duck"
"Lakes",19418,"1069-50000","Black-bellied Whistling-Duck"
"Rivers",3108,"50-47961","Black-bellied Whistling-Duck"
"Elevation",19418,"50-50000","Black-bellied Whistling-Duck"
"Aspect",31651,"1069-50000","Black-bellied Whistling-Duck"
"Slope",25535,"2089-47961","Black-bellied Whistling-Duck"
"Precipitation",20000,"1000-50000","Black-bellied Whistling-Duck"
"Developed high intensity",33690,"1069-50000","Black-bellied Whistling-Duck"
"Max temperature",22000,"1000-50000","Black-bellied Whistling-Duck"
"Barren land",21457,"50-50000","Black-bellied Whistling-Duck"
"Deciduous forest",37767,"9224-50000","Black-bellied Whistling-Duck"
"Evergreen forest",21457,"2089-47961","Black-bellied Whistling-Duck"
"Mixed forest",31651,"11263-50000","Black-bellied Whistling-Duck"
"Shrub scrub",23496,"1069-50000","Black-bellied Whistling-Duck"
"Grassland herbaceous",27573,"3108-50000","Black-bellied Whistling-Duck"
"Pasture hay",27573,"8205-47961","Black-bellied Whistling-Duck"
"Developed low intensity",5147,"1069-35729","Black-billed Cuckoo"
"Cultivated crop",15341,"50-47961","Black-billed Cuckoo"
"Woody wetland",27573,"1069-50000","Black-billed Cuckoo"
"Emergent wetland",11263,"50-47961","Black-billed Cuckoo"
"Ocean",19418,"50-50000","Black-billed Cuckoo"
"Lakes",8205,"1069-47961","Black-billed Cuckoo"
"Rivers",15341,"50-50000","Black-billed Cuckoo"
"Elevation",19418,"1069-50000","Black-billed Cuckoo"
"Aspect",10244,"1069-47961","Black-billed Cuckoo"
"Slope",17380,"1069-50000","Black-billed Cuckoo"
"Precipitation",22000,"1000-50000","Black-billed Cuckoo"
"Developed high intensity",15341,"1069-47961","Black-billed Cuckoo"
"Max temperature",12000,"1000-48000","Black-billed Cuckoo"
"Barren land",17380,"50-50000","Black-billed Cuckoo"
"Deciduous forest",13302,"1069-47961","Black-billed Cuckoo"
"Evergreen forest",29612,"1069-50000","Black-billed Cuckoo"
"Mixed forest",25535,"2089-50000","Black-billed Cuckoo"
"Shrub scrub",19418,"1069-50000","Black-billed Cuckoo"
"Grassland herbaceous",19418,"1069-50000","Black-billed Cuckoo"
"Pasture hay",15341,"50-50000","Black-billed Cuckoo"
"Developed low intensity",13302,"2089-45922","Black-billed Magpie"
"Cultivated crop",15341,"2089-50000","Black-billed Magpie"
"Woody wetland",10244,"50-47961","Black-billed Magpie"
"Emergent wetland",5147,"1069-41845","Black-billed Magpie"
"Ocean",15341,"50-47961","Black-billed Magpie"
"Lakes",25535,"3108-47961","Black-billed Magpie"
"Rivers",8205,"1069-47961","Black-billed Magpie"
"Elevation",35729,"15341-50000","Black-billed Magpie"
"Aspect",23496,"2089-50000","Black-billed Magpie"
"Slope",39806,"23496-50000","Black-billed Magpie"
"Precipitation",18000,"1000-50000","Black-billed Magpie"
"Developed high intensity",7186,"1069-41845","Black-billed Magpie"
"Max temperature",2000,"1000-8000","Black-billed Magpie"
"Barren land",35729,"50-50000","Black-billed Magpie"
"Deciduous forest",23496,"50-50000","Black-billed Magpie"
"Evergreen forest",2089,"1069-8205","Black-billed Magpie"
"Mixed forest",15341,"1069-50000","Black-billed Magpie"
"Shrub scrub",13302,"1069-50000","Black-billed Magpie"
"Grassland herbaceous",27573,"50-50000","Black-billed Magpie"
"Pasture hay",31651,"2089-50000","Black-billed Magpie"
"Developed low intensity",1069,"1069-1069","Black-capped Chickadee"
"Cultivated crop",1069,"50-1069","Black-capped Chickadee"
"Woody wetland",9224,"2089-45922","Black-capped Chickadee"
"Emergent wetland",41845,"23496-50000","Black-capped Chickadee"
"Ocean",35729,"6166-50000","Black-capped Chickadee"
"Lakes",23496,"1069-47961","Black-capped Chickadee"
"Rivers",15341,"50-50000","Black-capped Chickadee"
"Elevation",4128,"50-33690","Black-capped Chickadee"
"Aspect",39806,"4128-50000","Black-capped Chickadee"
"Slope",9224,"50-43884","Black-capped Chickadee"
"Precipitation",16000,"1000-50000","Black-capped Chickadee"
"Developed high intensity",50,"50-1069","Black-capped Chickadee"
"Max temperature",28000,"1000-50000","Black-capped Chickadee"
"Barren land",50,"50-50","Black-capped Chickadee"
"Deciduous forest",50,"50-1069","Black-capped Chickadee"
"Evergreen forest",4128,"1069-11263","Black-capped Chickadee"
"Mixed forest",1069,"50-2089","Black-capped Chickadee"
"Shrub scrub",19418,"3108-47961","Black-capped Chickadee"
"Grassland herbaceous",13302,"1069-47961","Black-capped Chickadee"
"Pasture hay",15341,"1069-50000","Black-capped Chickadee"
"Developed low intensity",19418,"1069-47961","Black-chinned Hummingbird"
"Cultivated crop",25535,"2089-50000","Black-chinned Hummingbird"
"Woody wetland",10244,"1069-50000","Black-chinned Hummingbird"
"Emergent wetland",27573,"50-50000","Black-chinned Hummingbird"
"Ocean",11263,"50-47961","Black-chinned Hummingbird"
"Lakes",3108,"50-29612","Black-chinned Hummingbird"
"Rivers",35729,"3108-50000","Black-chinned Hummingbird"
"Elevation",3108,"50-23496","Black-chinned Hummingbird"
"Aspect",17380,"1069-50000","Black-chinned Hummingbird"
"Slope",8205,"50-47961","Black-chinned Hummingbird"
"Precipitation",28000,"2000-50000","Black-chinned Hummingbird"
"Developed high intensity",7186,"50-47961","Black-chinned Hummingbird"
"Max temperature",4000,"1000-12000","Black-chinned Hummingbird"
"Barren land",21457,"50-50000","Black-chinned Hummingbird"
"Deciduous forest",10244,"50-45922","Black-chinned Hummingbird"
"Evergreen forest",2089,"1069-9224","Black-chinned Hummingbird"
"Mixed forest",39806,"17380-50000","Black-chinned Hummingbird"
"Shrub scrub",41845,"23496-50000","Black-chinned Hummingbird"
"Grassland herbaceous",39806,"15341-50000","Black-chinned Hummingbird"
"Pasture hay",9224,"2089-31651","Black-chinned Hummingbird"
"Developed low intensity",21457,"1069-50000","Black-crested Titmouse"
"Cultivated crop",17380,"50-50000","Black-crested Titmouse"
"Woody wetland",25535,"50-50000","Black-crested Titmouse"
"Emergent wetland",15341,"1069-47961","Black-crested Titmouse"
"Ocean",21457,"50-50000","Black-crested Titmouse"
"Lakes",10244,"50-47961","Black-crested Titmouse"
"Rivers",17380,"50-50000","Black-crested Titmouse"
"Elevation",19418,"50-50000","Black-crested Titmouse"
"Aspect",25535,"5147-47961","Black-crested Titmouse"
"Slope",8205,"50-47961","Black-crested Titmouse"
"Precipitation",28000,"2000-50000","Black-crested Titmouse"
"Developed high intensity",6166,"50-43884","Black-crested Titmouse"
"Max temperature",16000,"1000-48000","Black-crested Titmouse"
"Barren land",17380,"50-47961","Black-crested Titmouse"
"Deciduous forest",11263,"2089-43884","Black-crested Titmouse"
"Evergreen forest",19418,"1069-47961","Black-crested Titmouse"
"Mixed forest",9224,"1069-45922","Black-crested Titmouse"
"Shrub scrub",15341,"50-50000","Black-crested Titmouse"
"Grassland herbaceous",23496,"1069-50000","Black-crested Titmouse"
"Pasture hay",21457,"50-50000","Black-crested Titmouse"
"Developed low intensity",10244,"50-47961","Black-crowned Night Heron"
"Cultivated crop",19418,"50-50000","Black-crowned Night Heron"
"Woody wetland",10244,"3108-31651","Black-crowned Night Heron"
"Emergent wetland",1069,"50-2089","Black-crowned Night Heron"
"Ocean",13302,"1069-50000","Black-crowned Night Heron"
"Lakes",17380,"1069-50000","Black-crowned Night Heron"
"Rivers",21457,"1069-50000","Black-crowned Night Heron"
"Elevation",17380,"50-50000","Black-crowned Night Heron"
"Aspect",7186,"1069-35729","Black-crowned Night Heron"
"Slope",10244,"50-47961","Black-crowned Night Heron"
"Precipitation",20000,"1000-50000","Black-crowned Night Heron"
"Developed high intensity",19418,"50-50000","Black-crowned Night Heron"
"Max temperature",18000,"1000-50000","Black-crowned Night Heron"
"Barren land",21457,"50-50000","Black-crowned Night Heron"
"Deciduous forest",17380,"1069-50000","Black-crowned Night Heron"
"Evergreen forest",13302,"1069-47961","Black-crowned Night Heron"
"Mixed forest",21457,"1069-50000","Black-crowned Night Heron"
"Shrub scrub",11263,"50-47961","Black-crowned Night Heron"
"Grassland herbaceous",19418,"50-50000","Black-crowned Night Heron"
"Pasture hay",23496,"50-50000","Black-crowned Night Heron"
"Developed low intensity",4128,"1069-33690","Black-headed Grosbeak"
"Cultivated crop",23496,"50-50000","Black-headed Grosbeak"
"Woody wetland",7186,"50-47961","Black-headed Grosbeak"
"Emergent wetland",17380,"50-50000","Black-headed Grosbeak"
"Ocean",21457,"50-50000","Black-headed Grosbeak"
"Lakes",11263,"1069-39806","Black-headed Grosbeak"
"Rivers",33690,"17380-50000","Black-headed Grosbeak"
"Elevation",29612,"50-50000","Black-headed Grosbeak"
"Aspect",7186,"50-47961","Black-headed Grosbeak"
"Slope",7186,"1069-50000","Black-headed Grosbeak"
"Precipitation",20000,"1000-50000","Black-headed Grosbeak"
"Developed high intensity",1069,"50-3108","Black-headed Grosbeak"
"Max temperature",6000,"1000-12000","Black-headed Grosbeak"
"Barren land",13302,"1069-50000","Black-headed Grosbeak"
"Deciduous forest",11263,"1069-47961","Black-headed Grosbeak"
"Evergreen forest",2089,"1069-4128","Black-headed Grosbeak"
"Mixed forest",5147,"2089-11263","Black-headed Grosbeak"
"Shrub scrub",15341,"1069-47961","Black-headed Grosbeak"
"Grassland herbaceous",31651,"3108-50000","Black-headed Grosbeak"
"Pasture hay",21457,"5147-35729","Black-headed Grosbeak"
"Developed low intensity",5147,"1069-43884","Black-necked Stilt"
"Cultivated crop",3108,"1069-17380","Black-necked Stilt"
"Woody wetland",27573,"50-50000","Black-necked Stilt"
"Emergent wetland",1069,"1069-2089","Black-necked Stilt"
"Ocean",27573,"1069-50000","Black-necked Stilt"
"Lakes",3108,"1069-17380","Black-necked Stilt"
"Rivers",17380,"1069-47961","Black-necked Stilt"
"Elevation",19418,"50-50000","Black-necked Stilt"
"Aspect",15341,"50-50000","Black-necked Stilt"
"Slope",5147,"1069-19418","Black-necked Stilt"
"Precipitation",18000,"1000-50000","Black-necked Stilt"
"Developed high intensity",17380,"50-47961","Black-necked Stilt"
"Max temperature",22000,"1000-50000","Black-necked Stilt"
"Barren land",25535,"2089-50000","Black-necked Stilt"
"Deciduous forest",19418,"1069-50000","Black-necked Stilt"
"Evergreen forest",15341,"50-47961","Black-necked Stilt"
"Mixed forest",15341,"50-50000","Black-necked Stilt"
"Shrub scrub",21457,"50-50000","Black-necked Stilt"
"Grassland herbaceous",21457,"1069-50000","Black-necked Stilt"
"Pasture hay",19418,"50-50000","Black-necked Stilt"
"Developed low intensity",27573,"1069-50000","Black-tailed Gnatcatcher"
"Cultivated crop",13302,"50-50000","Black-tailed Gnatcatcher"
"Woody wetland",21457,"1069-47961","Black-tailed Gnatcatcher"
"Emergent wetland",13302,"1069-50000","Black-tailed Gnatcatcher"
"Ocean",17380,"50-47961","Black-tailed Gnatcatcher"
"Lakes",19418,"50-50000","Black-tailed Gnatcatcher"
"Rivers",11263,"50-45922","Black-tailed Gnatcatcher"
"Elevation",17380,"50-50000","Black-tailed Gnatcatcher"
"Aspect",27573,"4128-50000","Black-tailed Gnatcatcher"
"Slope",15341,"1069-50000","Black-tailed Gnatcatcher"
"Precipitation",20000,"1000-50000","Black-tailed Gnatcatcher"
"Developed high intensity",19418,"1069-50000","Black-tailed Gnatcatcher"
"Max temperature",36000,"7000-50000","Black-tailed Gnatcatcher"
"Barren land",21457,"1069-47961","Black-tailed Gnatcatcher"
"Deciduous forest",21457,"1069-50000","Black-tailed Gnatcatcher"
"Evergreen forest",19418,"50-50000","Black-tailed Gnatcatcher"
"Mixed forest",21457,"1069-50000","Black-tailed Gnatcatcher"
"Shrub scrub",9224,"50-47961","Black-tailed Gnatcatcher"
"Grassland herbaceous",17380,"50-50000","Black-tailed Gnatcatcher"
"Pasture hay",17380,"50-50000","Black-tailed Gnatcatcher"
"Developed low intensity",5147,"1069-43884","Black-throated Blue Warbler"
"Cultivated crop",21457,"1069-50000","Black-throated Blue Warbler"
"Woody wetland",21457,"1069-50000","Black-throated Blue Warbler"
"Emergent wetland",19418,"1069-50000","Black-throated Blue Warbler"
"Ocean",21457,"1069-50000","Black-throated Blue Warbler"
"Lakes",10244,"2089-45922","Black-throated Blue Warbler"
"Rivers",19418,"50-47961","Black-throated Blue Warbler"
"Elevation",19418,"50-50000","Black-throated Blue Warbler"
"Aspect",11263,"50-47961","Black-throated Blue Warbler"
"Slope",17380,"1069-50000","Black-throated Blue Warbler"
"Precipitation",24000,"2000-50000","Black-throated Blue Warbler"
"Developed high intensity",23496,"1069-50000","Black-throated Blue Warbler"
"Max temperature",7000,"1000-42000","Black-throated Blue Warbler"
"Barren land",21457,"2089-47961","Black-throated Blue Warbler"
"Deciduous forest",2089,"50-21457","Black-throated Blue Warbler"
"Evergreen forest",27573,"2089-50000","Black-throated Blue Warbler"
"Mixed forest",3108,"1069-35729","Black-throated Blue Warbler"
"Shrub scrub",9224,"50-47961","Black-throated Blue Warbler"
"Grassland herbaceous",27573,"50-50000","Black-throated Blue Warbler"
"Pasture hay",7186,"50-37767","Black-throated Blue Warbler"
"Developed low intensity",9224,"1069-45922","Black-throated Gray Warbler"
"Cultivated crop",19418,"1069-47961","Black-throated Gray Warbler"
"Woody wetland",31651,"2089-50000","Black-throated Gray Warbler"
"Emergent wetland",23496,"1069-50000","Black-throated Gray Warbler"
"Ocean",27573,"1069-50000","Black-throated Gray Warbler"
"Lakes",21457,"1069-50000","Black-throated Gray Warbler"
"Rivers",21457,"50-50000","Black-throated Gray Warbler"
"Elevation",21457,"1069-50000","Black-throated Gray Warbler"
"Aspect",15341,"50-50000","Black-throated Gray Warbler"
"Slope",8205,"2089-35729","Black-throated Gray Warbler"
"Precipitation",20000,"1000-50000","Black-throated Gray Warbler"
"Developed high intensity",9224,"1069-43884","Black-throated Gray Warbler"
"Max temperature",7000,"1000-30000","Black-throated Gray Warbler"
"Barren land",17380,"50-50000","Black-throated Gray Warbler"
"Deciduous forest",19418,"50-50000","Black-throated Gray Warbler"
"Evergreen forest",6166,"1069-31651","Black-throated Gray Warbler"
"Mixed forest",17380,"50-50000","Black-throated Gray Warbler"
"Shrub scrub",23496,"50-50000","Black-throated Gray Warbler"
"Grassland herbaceous",13302,"3108-43884","Black-throated Gray Warbler"
"Pasture hay",19418,"50-50000","Black-throated Gray Warbler"
"Developed low intensity",2089,"1069-4128","Black-throated Green Warbler"
"Cultivated crop",7186,"1069-45922","Black-throated Green Warbler"
"Woody wetland",21457,"5147-50000","Black-throated Green Warbler"
"Emergent wetland",21457,"50-50000","Black-throated Green Warbler"
"Ocean",37767,"8205-50000","Black-throated Green Warbler"
"Lakes",27573,"5147-47961","Black-throated Green Warbler"
"Rivers",25535,"50-50000","Black-throated Green Warbler"
"Elevation",31651,"50-50000","Black-throated Green Warbler"
"Aspect",21457,"1069-50000","Black-throated Green Warbler"
"Slope",21457,"50-50000","Black-throated Green Warbler"
